Country Name,Country Code,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,28858965517.2414,33332844574.7801,40405006007.2086,..,..,..,..,..,..,..,..,..,..,..,..,..
Syrian Arab Republic,SYR,GDP per capita (current US$),NY.GDP.PCAP.CD,1571.73823581697,1748.90577186614,2032.62318256619,..,..,..,..,..,..,..,..,..,..,..,..,..
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,2312327536.41789,2830220713.07301,3719506172.83951,5161337336.40365,4979481980.35098,5642178579.58438,6522732202.50748,7633049792.09321,8448469837.53831,9112544556.05962,8271454300.59548,6992393787.40891,7536439875.08334,7765014424.33779,8300784856.87904,8194150301.78552
Tajikistan,TJK,GDP per capita (current US$),NY.GDP.PCAP.CD,340.583183232527,408.838413523407,526.643288270494,715.8657062687,676.12351106337,749.552412285997,847.382432066315,969.296103880894,1048.22560182624,1104.17235837941,978.404981180605,807.10258610434,848.672379903239,853.218873401321,890.544402355733,859.137961121368
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,18399046025.2688,18649590248.2626,21843529024.9154,27941177434.5087,29081425282.2949,32014249841.4151,34657139495.4031,39650530214.3287,45680532613.7591,49964788814.0926,47378599025.3044,49774021003.0748,53320625958.5628,57003713748.2316,61136873747.3324,62409748426.5824
Tanzania,TZA,GDP per capita (current US$),NY.GDP.PCAP.CD,492.631339721454,485.49744948822,552.839501616627,687.390445540348,695.216843291099,743.403663887825,781.433895673281,867.857498923481,970.399601430411,1030.0776484553,947.933351658407,966.503016569611,1004.90658838695,1042.83875856619,1085.88486100047,1076.47038455352
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,189318549680.384,221758196504.936,262942476722.425,291382991177.698,281710416557.292,341104820155.464,370819140946.553,397558222957.17,420333203150.426,407339454060.678,401296437424.995,413366150655.591,456356961443.497,506611070188.362,544263968873.601,501794961925.244
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,2894.06265596401,3369.54319807344,3973.01717157725,4379.65878719505,4213.00665375142,5076.33987220163,5492.12149993341,5860.58147053475,6168.26135569944,5951.88348654008,5840.05306687798,5993.30551610045,6593.81835157138,7296.87960772339,7817.01152157855,7189.04183501668
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,462261800,453796000,542795300,648492700,726881600,881826900,1054725400,1147779600,1395524600,1447311400,1594410800,1650608600,1599338100,1559894900,2017924900,1821000000
Timor-Leste,TLS,GDP per capita (current US$),NY.GDP.PCAP.CD,464.524032036015,446.457576809974,523.73753845085,614.435754973338,676.618330686614,806.413526264338,947.510766704337,1013.0428719455,1210.03999001117,1232.45399729038,1332.79177192229,1353.74681474203,1286.40678538681,1230.22528046689,1560.50861482306,1381.17566036276
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,2281482855.46518,2351584608.41123,2662612348.44099,3323677130.04484,3379258564.97242,3429461495.41335,3872459249.74631,3873308389.30006,4321655656.33177,4574986536.90791,4180866177.03946,6031632168.17391,6395472574.41445,7112200725.00232,7220395247.7424,7574635241.30191
Togo,TGO,GDP per capita (current US$),NY.GDP.PCAP.CD,406.562366042383,408.057117336142,449.738250451153,546.35037020228,540.608712584616,534.04478262418,587.097492827983,571.806723944167,621.398853574683,640.934219628827,570.909967175308,803.1518934041,830.745276651438,901.523016898937,893.352454121675,914.950582595136
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,261797606.149719,292232117.078998,298513956.159185,344428609.006734,312377379.297118,366840012.442325,414523388.461329,470714083.426751,450643615.180528,439878828.008608,437006227.162781,420540178.571429,460379144.989821,489235527.395387,512350059.421629,..
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,2594.41873934395,2873.0766372279,2910.14512180299,3331.54655465772,3006.60634375505,3527.95234170016,4002.81377065344,4581.78324469272,4428.14652130855,4354.24436028041,4336.23960272654,4157.87724876095,4513.4325306349,4740.70027224476,4903.01213835449,..
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,15982282462.3786,18369361094.3886,21641620049.9352,27871587349.5413,19172165225.5015,22157948396.2042,25433011405.3017,25763220107.0051,27268478564.5547,27615843098.0949,24959858249.4433,22386264807.3174,22385426653.883,23679919654.9891,23208326547.5327,21529824769.2969
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,12327.2807128582,14102.5932894722,16539.8907485461,21204.0081810259,14514.2406135579,16683.3930629542,19034.1207062684,19157.4597728795,20143.5454060659,20270.933769027,18214.460619356,16250.6286879928,16173.7400502023,17037.8623561897,16637.1629387697,15384.0394609875
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,32273007553.5687,34377310293.0128,38914078351.8027,44860969077.1853,43454935940.1614,44050929160.2627,45810626509.4474,45044138549.2029,46251074044.439,47632390881.7812,43173531810.7667,41801284916.2011,39802554352.3188,39770478673.1648,39195716330.4253,39235672868.2722
Tunisia,TUN,GDP per capita (current US$),NY.GDP.PCAP.CD,3193.20435786446,3369.92444259929,3776.33204636461,4307.58002263066,4128.46395929364,4141.97596390705,4264.6781221604,4152.68439365665,4222.70514036347,4305.48235674968,3861.69240015155,3697.93872935664,3481.24110633379,3438.80506664387,3351.57344330192,3319.81902353323
Turkey,TUR,GDP (current US$),NY.GDP.MKTP.CD,506308311476.63,557057829051.453,681337335021.874,770462156204.38,649272568774.193,776992599946.766,838762755164.179,880556375779.51,957783020853.031,938952628604.067,864316670330.882,869692960365.551,858996263095.858,778377023568.884,761428183369.171,720101212394.114
Turkey,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,7456.2961006749,8101.85692374776,9791.88245001167,10941.172146426,9103.47405061243,10742.7749787626,11420.5554558378,11795.6334567571,12614.7816100386,12157.9904337823,11006.2795239649,10894.6033779275,10589.667724687,9453.19617174191,9126.59439195453,8538.16905982745
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,8103901996.37024,10276674364.8961,12664165103.1895,19271523178.8079,20214385964.9123,22583157894.7368,29233333333.3333,35164210526.3158,39197543859.6491,43524210526.3158,35799714285.7143,36169428571.4286,37926285714.2857,40765428571.4286,45231428571.4286,..
